timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1679206211.138205,4,10.0.0.1010.0.0.1501,10.0.0.1,0,10.0.0.15,0,1,0,8,4,242000000,20,100,0,4,392,1.0,1.652892561983471e-08,98.0,1.6198347107438017e-06,0
1679206211.138205,4,10.0.0.11010.0.0.601,10.0.0.11,0,10.0.0.6,0,1,0,0,45,36000000,20,100,0,44,4312,0.9777777777777777,1.2222222222222221e-06,95.82222222222222,0.00011977777777777777,0
1679206211.138205,4,10.0.0.15010.0.0.101,10.0.0.15,0,10.0.0.1,0,1,0,0,4,240000000,20,100,0,4,392,1.0,1.6666666666666667e-08,98.0,1.6333333333333333e-06,0
1679206211.138205,4,10.0.0.6010.0.0.1101,10.0.0.6,0,10.0.0.11,0,1,0,8,45,40000000,20,100,0,44,4312,0.9777777777777777,1.1e-06,95.82222222222222,0.0001078,0
1679206211.140805,2,10.0.0.1010.0.0.1501,10.0.0.1,0,10.0.0.15,0,1,0,8,4,243000000,20,100,0,4,392,1.0,1.646090534979424e-08,98.0,1.6131687242798355e-06,0
1679206211.140805,2,10.0.0.1505010.0.0.7556606,10.0.0.1,5050,10.0.0.7,55660,6,0,8,24,614000000,20,100,0,206517,13630134,8604.875,0.00033634690553745926,567922.25,0.022198915309446253,0
1679206211.140805,2,10.0.0.18010.0.0.7352886,10.0.0.1,80,10.0.0.7,35288,6,0,8,4,503000000,20,100,0,11,1046,2.75,2.186878727634195e-08,261.5,2.079522862823062e-06,0
1679206211.140805,2,10.0.0.18010.0.0.7352906,10.0.0.1,80,10.0.0.7,35290,6,0,8,4,490000000,20,100,0,3162,60549662,790.5,6.453061224489796e-06,15137415.5,0.12357073877551021,0
1679206211.140805,2,10.0.0.1505110.0.0.75117917,10.0.0.1,5051,10.0.0.7,51179,17,0,8,4,530000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1679206211.140805,2,10.0.0.11505110.0.0.6511791,10.0.0.11,5051,10.0.0.6,51179,1,0,0,45,31000000,20,100,0,44,4312,0.9777777777777777,1.4193548387096774e-06,95.82222222222222,0.0001390967741935484,0
1679206211.140805,2,10.0.0.15505110.0.0.1511791,10.0.0.15,5051,10.0.0.1,51179,1,0,0,4,238000000,20,100,0,4,392,1.0,1.680672268907563e-08,98.0,1.6470588235294118e-06,0
1679206211.140805,2,10.0.0.6505110.0.0.11511791,10.0.0.6,5051,10.0.0.11,51179,1,0,8,45,67000000,20,100,0,44,4312,0.9777777777777777,6.567164179104478e-07,95.82222222222222,6.435820895522387e-05,0
1679206211.140805,2,10.0.0.73529010.0.0.1806,10.0.0.7,35290,10.0.0.1,80,6,0,8,4,495000000,20,100,0,1866,125430,466.5,3.7696969696969696e-06,31357.5,0.0002533939393939394,0
